zone_id,district,tsurf14h,area_type,priority_class,suggested_intervention
11744,Spandau,35.88,Non-green area,Very High,Street trees + shade structures + cool roofs
1231,,35.87,Non-green area,Very High,Street trees + shade structures + cool roofs
10557,Spandau,35.82,Non-green area,Very High,Street trees + shade structures + cool roofs
22465,Treptow-Köpenick,35.82,Non-green area,Very High,Street trees + shade structures + cool roofs
32185,Mitte,35.82,Non-green area,Very High,Street trees + shade structures + cool roofs
10549,Spandau,35.81,Non-green area,Very High,Street trees + shade structures + cool roofs
32687,Spandau,35.79,Non-green area,Very High,Street trees + shade structures + cool roofs
1246,,35.78,Non-green area,Very High,Street trees + shade structures + cool roofs
1882,,35.78,Non-green area,Very High,Street trees + shade structures + cool roofs
6061,Pankow,35.78,Non-green area,Very High,Street trees + shade structures + cool roofs
32188,Mitte,35.78,Non-green area,Very High,Street trees + shade structures + cool roofs
32169,Mitte,35.77,Non-green area,Very High,Street trees + shade structures + cool roofs
11569,Spandau,35.75,Non-green area,Very High,Street trees + shade structures + cool roofs
22173,Treptow-Köpenick,35.75,Non-green area,Very High,Street trees + shade structures + cool roofs
22429,Treptow-Köpenick,35.75,Non-green area,Very High,Street trees + shade structures + cool roofs
32971,Tempelhof-Schöneberg,35.75,Non-green area,Very High,Street trees + shade structures + cool roofs
33000,Tempelhof-Schöneberg,35.75,Non-green area,Very High,Street trees + shade structures + cool roofs
10634,,35.73,Non-green area,Very High,Street trees + shade structures + cool roofs
11244,Spandau,35.73,Non-green area,Very High,Street trees + shade structures + cool roofs
1392,Mitte,35.72,Non-green area,Very High,Street trees + shade structures + cool roofs
